time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-10T18:24:38.550Z,34.585,26.5809,13.79,5,mb,,45,1.071,0.71,us,us2000j2mg,2019-01-10T19:22:43.040Z,"74km SSE of Palaikastron, Greece",earthquake,6.7,4.4,0.05,126,reviewed,us,us
2019-01-10T18:15:12.760Z,19.0941,-68.6456,108,3.26,md,21,198,0.6375,0.28,pr,pr2019010008,2019-01-10T18:58:24.542Z,"44km ENE of Miches, Dominican Republic",earthquake,5.32,2.8,0.44,17,reviewed,pr,pr
2019-01-10T18:08:37.731Z,60.3791,-152.2301,85.2,2.6,ml,,,,0.44,ak,ak019gu52gr,2019-01-10T18:32:06.554Z,"30km ESE of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-01-10T17:58:28.900Z,-17.1405,167.1356,10,4.8,mb,,148,4.948,0.58,us,us2000j2lt,2019-01-10T18:58:54.040Z,"117km SSW of Lakatoro, Vanuatu",earthquake,6.6,1.9,0.118,22,reviewed,us,us
2019-01-10T17:30:14.340Z,37.3368,20.6002,10,4.8,mb,,44,1.068,1.33,us,us2000j2l9,2019-01-10T19:13:28.040Z,"46km SSW of Lithakia, Greece",earthquake,4.8,1.9,0.094,35,reviewed,us,us
2019-01-10T17:11:59.800Z,-27.1622,-176.1815,10,4.9,mb,,116,2.585,1.45,us,us2000j2lk,2019-01-10T19:01:41.040Z,"287km NE of Raoul Island, New Zealand",earthquake,5.6,1.9,0.106,28,reviewed,us,us
2019-01-10T17:00:37.380Z,-26.9128,-175.4944,10,5.8,mww,,100,3.166,1,us,us2000j2kv,2019-01-10T19:04:30.225Z,"South of Tonga",earthquake,7.2,1.9,0.062,25,reviewed,us,us
2019-01-10T16:15:52.830Z,-16.2651,-176.403,370.51,4.7,mb,,65,2.556,1.09,us,us2000j2jd,2019-01-10T16:43:33.040Z,"285km W of Hihifo, Tonga",earthquake,9.2,5.6,0.054,105,reviewed,us,us
2019-01-10T15:54:13.824Z,60.3966,-145.1899,11.8,2.7,ml,,,,0.82,ak,ak019gsmks4,2019-01-10T16:04:59.201Z,"35km ESE of Cordova, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-01-10T13:48:59.540Z,45.4185,-66.2509,5,3.8,mb_lg,,121,0.514,0.44,us,us2000j2is,2019-01-10T19:16:27.287Z,"21km NW of Saint John, Canada",earthquake,2.6,2,0.117,19,reviewed,us,us
